CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4304309,RS,Sul,88.24,0.7347074088302848,True,True
4303707,RS,Sul,89.23,0.7346217415118831,True,True
4305157,RS,Sul,50.0,0.7310917060404961,True,True
4305975,RS,Sul,55.17,0.7310222410054621,True,True
4312385,RS,Sul,88.89,0.7308286157723726,True,True
4323770,RS,Sul,92.0,0.7293949526719556,True,True
4310801,RS,Sul,70.13,0.7291191775723189,True,True
4319752,RS,Sul,73.68,0.72855394577016,True,True
4313334,RS,Sul,75.76,0.7275716237927604,True,True
4304903,RS,Sul,81.22,0.7272468505485797,True,True
4300059,RS,Sul,44.5,0.7266791058697037,True,True
4308458,RS,Sul,88.73,0.7262881473641022,True,True
3305109,RJ,Sudeste,38.15,0.7253613738942444,True,True
4312674,RS,Sul,72.22,0.7250202000557784,True,True
4307864,RS,Sul,93.1,0.7244552670017109,True,True
4308904,RS,Sul,80.47,0.7220574046500131,True,True
1504307,PA,Norte,54.94,0.722046331709556,True,True
4315909,RS,Sul,81.51,0.7220294966919075,True,True
4305871,RS,Sul,71.81,0.7215810498713678,True,True
4302659,RS,Sul,66.62,0.7213760386371632,True,True
4323507,RS,Sul,75.0,0.7191060414694007,True,True
4322558,RS,Sul,85.95,0.7187723635246832,True,True
3301702,RJ,Sudeste,46.89,0.7184951910480064,True,True
4306452,RS,Sul,92.86,0.7172058519092036,True,True
4306551,RS,Sul,62.91,0.7168525478358958,True,True
4304671,RS,Sul,51.12,0.7165441871175658,True,True
4314548,RS,Sul,88.89,0.7164791024583886,True,True
4313086,RS,Sul,81.82,0.7164777845611442,True,True
4322541,RS,Sul,59.68,0.7163795551267381,True,True
4301503,RS,Sul,86.25,0.7160753363856243,True,True
4300851,RS,Sul,42.63,0.7158035642948509,True,True
4307815,RS,Sul,91.43,0.7156356125722947,True,True
4319356,RS,Sul,76.49,0.7153042905446597,True,True
4310439,RS,Sul,89.36,0.7149275334397895,True,True
4310306,RS,Sul,100.0,0.714292487877673,True,True
2922854,BA,Nordeste,56.51,0.713598151123493,True,True
4310462,RS,Sul,84.21,0.713124520049158,True,True
4323705,RS,Sul,45.49,0.712869466095431,True,True
4314753,RS,Sul,47.78,0.712555991491076,True,True
4300901,RS,Sul,85.62,0.7118903984384471,True,True
4300570,RS,Sul,62.08,0.7112544470260923,True,True
4301651,RS,Sul,64.68,0.7109754520241958,True,True
4323358,RS,Sul,53.57,0.7106733982300443,True,True
4301206,RS,Sul,83.79,0.7099200137901214,True,True
4308706,RS,Sul,64.61,0.708594110356318,True,True
4306072,RS,Sul,28.57,0.7074889024839873,True,True
4304614,RS,Sul,80.0,0.7074813676856603,True,True
4316733,RS,Sul,62.96,0.7054325722117857,True,True
4323200,RS,Sul,77.47,0.7039163173964055,True,True
4301958,RS,Sul,89.47,0.7032339595450364,True,True
1503101,PA,Norte,49.05,0.7029857762426016,True,True
3304904,RJ,Sudeste,46.71,0.700782905472782,True,True
1506005,PA,Norte,43.06,0.7003665677704407,True,True
4311270,RS,Sul,93.33,0.7003588952625002,True,True
4312351,RS,Sul,94.74,0.7001029380318351,True,True
3303500,RJ,Sudeste,40.81,0.6996862107993361,True,True
4322806,RS,Sul,59.68,0.6989861081370176,True,True
4305405,RS,Sul,72.74,0.6989017764452876,True,True
1502004,PA,Norte,47.83,0.6987435198600691,True,True
4317558,RS,Sul,65.0,0.6965188415965315,True,True
4310850,RS,Sul,88.24,0.6955069166320601,True,True
1504505,PA,Norte,37.47,0.6953584424314404,True,True
4310751,RS,Sul,83.33,0.6948052334993904,True,True
4305934,RS,Sul,83.33,0.6929446893893664,True,True
4318051,RS,Sul,75.0,0.6927275233321967,True,True
4307559,RS,Sul,75.26,0.6922950094290161,True,True
4321626,RS,Sul,75.86,0.6921846551068432,True,True
4305504,RS,Sul,83.33,0.691866896105251,True,True
4314803,RS,Sul,64.98,0.6909361394346573,True,True
4312450,RS,Sul,75.6,0.6902442337283474,True,True
4313011,RS,Sul,89.01,0.6902386556814211,True,True
4320305,RS,Sul,85.71,0.690086727792358,True,True
4320453,RS,Sul,72.98,0.6899247904851095,True,True
4319711,RS,Sul,80.0,0.6890994569779086,True,True
3301009,RJ,Sudeste,46.4,0.6887093167078985,True,True
4312054,RS,Sul,78.33,0.6881913693648425,True,True
3302270,RJ,Sudeste,40.86,0.6881589877834223,True,True
4314076,RS,Sul,57.2,0.6873331109690077,True,True
4322905,RS,Sul,83.33,0.6872002174943223,True,True
3305554,RJ,Sudeste,44.68,0.6866859408239315,True,True
1303304,AM,Norte,64.57,0.6861715710838877,True,True
4321634,RS,Sul,100.0,0.6848726263117146,True,True
4208203,SC,Sul,50.88,0.6847669495133384,True,True
4306320,RS,Sul,54.84,0.6845374449281798,True,True
4316477,RS,Sul,90.91,0.6838848133550804,True,True
4306429,RS,Sul,50.0,0.6838691249110515,True,True
4318499,RS,Sul,96.55,0.6825261648434324,True,True
4306759,RS,Sul,57.89,0.6815680699246883,True,True
4319372,RS,Sul,100.0,0.6815029886762025,True,True
4318440,RS,Sul,55.48,0.6813304907954606,True,True
4311643,RS,Sul,90.91,0.6810020883696882,True,True
